Argentinian	{(argentine)}>ian>
Argonaut	{(argo)(naut)}
Argonauts	{(argo)(naut)}
Argus	{(argus)}
Ariadne	{(ariadne)}
Arianism	{(ariane)}>ism>
Aries	{(aries)}
Aristotelian	{(aristotelian)}
Aristotle	{(aristotle)}
Aristotle's	{(aristotle)}
Arizona	{(arizona)}
Arkansas	{(arkansas)}
Arlene	{(arlene)}
Arlington	{(arlington)}
Armageddon	{(armageddon)}
Armenian	{(armenia)}>n>
Armstrong	{(arm)(strong)}
Arnold	{(arnold)}
Artemis	{(artemis)}
Arthur	{(arthur)}
Arthur's	{(arthur)}
Aryan	{(aryan)}
Aryans	{(aryan)}
Ashley	{(ashley)}
Asia	{(asia)}
Asian	{(asia)}>n>
Asians	{(asia)}>n>
Asiatic	{(asiatic)}
Asiatics	{(asiatic)}
Assyrian	{(assyria)}>n>
Athabascan	{(athabasca)}>n>
Athena	{(athena)}
Athenian	{(athenian)}
Athenians	{(athenian)}
Athens	{(athens)}
Atlanta	{(atlanta)}
Atlanta's	{(atlanta)}
Atlantic	{(atlantic)}
Atlantis	{(atlantis)}
Attic	{(attic)}
Audrey	{(audrey)}
Audubon	{(audubon)}
August	{(august)}
Augusta	{(augusta)}
Augusta's	{(augusta)}
Augustine	{(augustine)}
Augustine's	{(augustine)}
Augusts	{(august)}
Augustus	{(augustus)}
Auschwitz	{(auschwitz)}
Aussie	{(aussie)}
Aussies	{(aussie)}
Austin	{(austin)}
Australasia	{(australasia)}
Australasian	{(australasia)}>n>
Australasians	{(australasia)}>n>
Australia	{(australia)}
Australian	{(australia)}>n>
Australians	{(australia)}>n>
Austria	{(austria)}
Austrian	{(austria)}>n>
Austrians	{(austria)}>n>
Azerbaijan	{(azerbaijan)}
BA	{(ba)}
BABBITING	{(bab)}{(bite)}
BABBITT	{(babbitt)}
BABCOCK	{(babcock)}
BAGLEY	{(bagley)}
BAINES	{(baines)}
BAIRD	{(baird)}
BAKERSFIELD	{(bakersfield)}
BAL	{(bal)}
BALAGUER'S	{(balaguer)}
BALDRIGE	{(baldrige)}
BALDWIN	{(bald)(win)}
BALKAN	{(balkan)}
BALKANIZE	{(balkan)}>ize>
BALKANIZING	{(balkan)}>ize>
BALLARD	{(ballard)}
BALLARDS	{(bal)}{(lard)}
BALLETOMANE	{(ballet)(mania)}
BALLYHOOEY	{(bally)}{(hooey)}
BALTIMOREAN	{(baltimore)}>ian>
BALZAC	{(balzac)}
BANBURY	{(ban)(bury)}
BANCROFT	{(bancroft)}
BANDISH	{(ban)}{(dish)}
BANDON	{(bandon)}
BANFIELD	{(banfield)}
BARBOUR	{(barbour)}
BARDALL	{(bard)}{(all)}
BARGEN	{(bar)}{(gen)}
BARI	{(bari)}
BARNABA	{(barn)}{(aba)}
BARNARD	{(barnard)}
BARNARD'S	{(barnard)}
BARNES	{(barnes)}
BARNET	{(barnet)}
BARNETT	{(barnett)}
BARNEY	{(barney)}
BARR	{(barr)}
BARRE	{(barre)}
BARRETT	{(barrett)}
BARRINGTON	{(barrington)}
BARRYMORES	{(barrymore)}
BARSTOW	{(barstow)}
BARTH	{(barth)}
BARTOK	{(bartok)}
BARTON	{(barton)}
BASEBALLIGHT	{(base)}{(bal)}{(light)}
BASEL	{(basel)}
BASHAW	{(bashaw)}
BASHO'S	{(basho)}
BASIE	{(basie)}
BASOPHILIC	{(baso)(philo)>ic>}
BASSO	{(basso)}
BATAVIA	{(batavia)}
BATEAU	{(bateau)}
BATTENKILL	{(batten)}{(kill)}
BATTERIE	{(batterie)}
BATWINGS	{(bat)}{(wing)}
BAUDELAIRE	{(baudelaire)}
BAUER	{(bauer)}
BAYREUTH	{(bayreuth)}
BEA	{(bea)}
BEALE	{(beale)}
BEARDENS	{(bear)}{(den)}
BEASTIES	{(beast)}>y>
BEAUCHAMPS	{(beauchamp)}
BEAUCLERK	{(beauclerk)}
BEAULIEU	{(beaulieu)}
BEAUMONT	{(beaumont)}
BEAVERTON	{(beaverton)}
BECKETT	{(beckett)}
BECKMAN	{(beckman)}
BEDE	{(bede)}
BEDFORD	{(bedford)}
BEDSTRAW	{(bed)}{(straw)}
BEEBREAD	{(bee)}{(bread)}
BEECHER	{(beecher)}
BEEFORE	{(bee)}{(fore)}
BEHAN	{(behan)}
BEL	{(bel)}
BELA	{(bela)}
BELABORING	<be<{(labor)}
BELIEVETH	{(believe)}>th>
BELLA	{(bella)}
BELLAMY'S	{(bellamy)}
BELLETCH	{(bell)}{(etch)}
BELLINI	{(bellini)}
BELLWOOD	{(bellwood)}
BELLYFULL	{(belly)}>ful>
BELMONT	{(belmont)}
BELSHAZZAR	{(belshazzar)}
BELTON	{(belton)}
BELVEDERE	{(belvedere)}
BELVIDERE	{(belvidere)}
BEMADDENING	<be<{(mad)}>en>
BENELUX	{(benelux)}
BENET'S	{(benet)}
BENITA	{(benita)}
BENNETT	{(bennett)}
BENNINGTON	{(bennington)}
BENNY	{(benny)}
BENSON	{(benson)}
BENTHAM	{(bentham)}
BENTLEY	{(bentley)}
BENTLEYS	{(bentley)}
BENZELL	{(ben)}{(zell)}
BERGER	{(berger)}
BERGSON	{(bergson)}
BERIBBONED	<be<{(ribbon)}
BERKSHIRES	{(berkshire)}
BERLIOZ	{(berlioz)}
BERMAN	{(berman)}
BERNARDINE	{(bernardine)}
BERNARDO	{(bernardo)}
BERNE	{(berne)}
BERNHARD	{(bernhard)}
BERNHARDT	{(bernhardt)}
BERNIE	{(bernie)}
BERNINI	{(bernini)}
BERNOULLI	{(bernoulli)}
BERNSTEIN	{(bernstein)}
BERRY'S	{(berry)}
BERTRAND	{(bertrand)}
BERYLLIUM	{(beryllium)}
BESPECTACLED	<be<{(spect)>acle>}
BESS	{(bess)}
BESSIE	{(bessie)}
BETSEY	{(betsey)}
BETSY	{(betsy)}
BETTIES	{(bet)}{(tie)}
BEVERLY	{(beverly)}
BEWHISKERED	<be<{(whisker)}
BIANCO	{(bianco)}
BICONCAVE	<bi<{(concave)}
BIDDIES	{(biddy)}
BIEN	{(bien)}
BIENNIUM	{<bi<(ann)>ium>}
BIJOUTERIE	{(bijouterie)}
BILHARZIASIS	{(bilharziasis)}
BILLIE	{(bill)>ie>}
BILLINGS	{(bill)}
BINUCLEAR	<bi<{(nucleo)>ar>}
BIRDWHISTELL	{(bird)}{(whist)}{(ell)}
BIRDWOOD	{(bird)}{(wood)}
BIREFRINGENCE	<bi<{(refringence)}
BIRMINGHAM	{(birming)(ham)}
BISHOPSGATE	{(bishop)(gate)}
BIX	{(bix)}
BIZET'S	{(bizet)}
BLACKMAN	{(blackman)}
BLACKSTONE	{(blackstone)}
BLACKWELL	{(blackwell)}
BLACKWELL'S	{(blackwell)}
BLACKWELLS	{(blackwell)}
BLAINE	{(blaine)}
BLAIR	{(blair)}
BLAKE	{(blake)}
BLAKEY	{(blakey)}
BLANCHARD	{(blanchard)}
BLANCHARD'S	{(blanchard)}
BLANCHE	{(blanche)}
BLANCHE'S	{(blanche)}
BLANTON	{(blanton)}
BLENHEIM	{(blenheim)}
BLOCH	{(bloch)}
BLOODSPOTS	{(blood)}{(spot)}
BLOOMFIELD	{(bloomfield)}
BLUEBONNETS	{(blue)}{(bonnet)}
BLUEBOOK	{(blue)}{(book)}
BLUEBUSH	{(blue)}{(bush)}
BLUM	{(blum)}
BLUMENTHAL	{(blumenthal)}
BLUTWURST	{(blutwurst)}
BLYTH	{(blyth)}
BOASTINGS	{(boa)}{(sting)}
BOBBIE	{(bobbie)}
BODLEIAN	{(bodleian)}
BOGGS	{(boggs)}
BOHEME	{(boheme)}
BOIS	{(bois)}
BOLAND	{(boland)}
BOLIVAR	{(bolivar)}
BOLSHOI	{(bolshoi)}
BON	{(bon)}
BONA	{(bona)}
BONAPARTE	{(bonaparte)}
BONJOUR	{(bonjour)}
BONN	{(bonn)}
BONNER	{(bonner)}
BONNIE	{(bonnie)}
BOONE	{(boone)}
BORATES	{(bor)>ate>}
BORDEN	{(borden)}
BORIS	{(boris)}
BORLAND	{(borland)}
BOSCH	{(bosch)}
BOSCO	{(bosco)}
BOUCHER	{(boucher)}
BOUTFLOWER	{(bout)}{(flower)}
BOWDEN	{(bowden)}
BOWES	{(bowes)}
BOXFORD	{(box)}{(ford)}
BOYCE	{(boyce)}
BOYD	{(boyd)}
BOYER	{(boyer)}
BRADFORD	{(bradford)}
BRADLEY'S	{(bradley)}
BRADY	{(brady)}
BRAGG	{(brag)}
BRAHMAPUTRA	{(brahmaputra)}
BRAHMSIAN	{(brahms)}>ian>
BRANDEIS	{(brandeis)}
BRANDENBURG	{(brandenburg)}
BRANDIN	{(brandin)}
BRANDT	{(brandt)}
BRANDT'S	{(brandt)}
BRANNON	{(brannon)}
BRAQUE	{(braque)}
BRASSNOSE	{(brass)}{(nose)}
BRASSTOWN	{(brass)}{(town)}
BRAUN	{(braun)}
BREAKIN	{(break)}{(in)}
BREAKOFF	{(break)}{(off)}
BRENDAN	{(brendan)}
BRENNAN	{(brennan)}
BRENNER	{(brenner)}
BREST	{(brest)}
BRICE	{(brice)}
BRICKTOP	{(brick)}{(top)}
BRIDGEPORT	{(bridge)(port)}
BRIDGET	{(bridget)}
BRIDGEWATER	{(bridge)(water)}
BRIEN	{(brien)}
BRIGGS	{(briggs)}
BRIGHT'S	{(bright)}
BRINDISI	{(brindisi)}
BRINKLEY	{(brinkley)}
BRITANNICA	{(britain)>ica>}
BRITTEN	{(britten)}
BROCKLE	{(brockle)}
BRODIE	{(brodie)}
BROMLEY	{(bromley)}
BRONCHIOLES	{(bronchi)>ole>}
BROOKE	{(brooke)}
BROOKFIELD	{(brookfield)}
BROOKMONT	{(brookmont)}
BROOME	{(broome)}
BROS	{(bros)}
BROWNE	{(browne)}
BRUCKNER	{(bruckner)}
BRUEGEL	{(bruegel)}
BRUNO	{(bruno)}
BRYAN	{(bryan)}
BRYANT	{(bryant)}
BRYCE	{(bryce)}
BRYN	{(bryn)}
BRYSON	{(bry)(sono)}
BUCHENWALD	{(buchenwald)}
BUCKHEAD	{(buck)}{(head)}
BUCKHORN'S	{(buck)}{(horn)}
BUCKLEY	{(buckley)}
BUCKMAN	{(buckman)}
BUCKY	{(bucky)}
BUDD	{(budd)}
BUDWEISERS	{(budweiser)}
BUILTIN	{(built)}{(in)}
BULLHIDE	{(bull)}{(hide)}
BULLWHACKERS	{(bull)}{(whack)}>er>
BUMPIN	{(bum)}{(pin)}
BUNCHA	{(bunch)>a>}
BUNDY	{(bundy)}
BURCH	{(burch)}
BURGUNDIES	{(burgundy)}
BURL	{(burl)}
BURLEY	{(burley)}
BURLINGTON	{(burlington)}
BURMAN	{(burman)}
BURNE	{(burne)}
BURNET	{(burnet)}
BURNHAM	{(burnham)}
BURTON'S	{(burton)}
BUSHNELL	{(bushnell)}
BUSS	{(buss)}
BUSTLIN	{(bust)}{(lin)}
BUTTERWYN	{(butter)}{(wyn)}
BUTYRATE	{(butyrate)}
BUXTON	{(buxton)}
BUYER'S	{(buy)}>er>
BUZZ'S	{(buzz)}
BYRD	{(byrd)}
BYRD'S	{(byrd)}
BYRNES	{(byrnes)}
BYRON'S	{(byron)}
BYRONIC	{(byron)}>ic>
BYRONISM	{(byron)}>ism>
Babylon	{(babylon)}
Babylonian	{(babylon)}>ia>>n>
Bacchus	{(bacchus)}
Bach	{(bach)}
Badlands	{(bad)}{(land)}
Bahamas	{(bahama)}
Bahamian	{(bahamian)}
Bahamians	{(bahamian)}
Bahrain	{(bahrain)}
Bahraini	{(bahrain)}>i>
Bahrainis	{(bahrain)}>i>
Bailey	{(bailey)}
Bali	{(bali)}
Balinese	{(bali)}>ese>
Balkans	{(balkan)}
Baltic	{(baltic)}
Baltimore	{(baltimore)}
Bambi	{(bambi)}
Bangkok	{(bangkok)}
Bangladesh	{(bangladesh)}
Bangladeshi	{(bangladesh)}>i>
Bangladeshis	{(bangladesh)}>i>
Bantu	{(bantu)}
Bantus	{(bantu)}
Baptist	{(bapt)>ist>}
Baptists	{(bapt)>ist>}
Barbadian	{(barbadian)}
Barbadians	{(barbadian)}
Barbados	{(barbados)}
Barbara	{(barbara)}
Barry	{(barry)}
Bartlett	{(bartlett)}
Bauhaus	{(bauhaus)}
Bavaria	{(bavaria)}
Beatrice	{(beatrice)}
Beaujolais	{(beaujolais)}
Becket	{(becket)}
Bedouin	{(bedouin)}
Beethoven	{(beethoven)}
Beethoven's	{(beethoven)}
Behemoths	{(behemoth)}
Beirut	{(beirut)}
Belgian	{(belgian)}
Belgians	{(belgian)}
Belgium	{(belgium)}
Ben	{(ben)}
Ben's	{(ben)}
Benedict	{(bene)(dict)}
Benedictine	{(bene)(dict)}>ine>
Benedictines	{(bene)(dict)}>ine>
Bengal	{(bengal)}
Bengalese	{(bengal)}>ese>
Bengali	{(bengal)}>i>
Bengalis	{(bengal)}>i>
Benin	{(benin)}
Benjamin	{(benjamin)}
Beowulf	{(beowulf)}
Berkeley	{(berkeley)}
Berlin	{(berlin)}
Berliners	{(berlin)}>er>
Bermuda	{(bermuda)}
Bermudan	{(bermuda)}>n>
Bermudans	{(bermuda)}>n>
Bern	{(bern)}
Bernard	{(bernard)}
Bert	{(bert)}
Bertha	{(bertha)}
Beth	{(beth)}
Bethlehem	{(bethlehem)}
Betty	{(betty)}
Bhutan	{(bhutan)}
Bible	{(bible)}
Bibles	{(bible)}
Bill's	{(bill)}
Billy	{(bill)>y>}
Bismarck	{(bismarck)}
Blackfeet	{(black)}{(feet)}
Blackshirt	{(black)}{(shirt)}
Blackshirts	{(black)}{(shirt)}
Blimpish	{(blimp)}>ish>
Bluebeard	{(blue)}{(beard)}
Bob's	{(bob)}
Bobby	{(bobby)}
Boeing	{(boeing)}
Boer	{(boer)}
Boers	{(boer)}
Bohemia	{(bohemia)}
Bolivia	{(bolivia)}
Bolivian	{(bolivia)}>n>
Bolivians	{(bolivia)}>n>
Bologna	{(bologna)}
Bolshevik	{(bolshevik)}
Bolsheviks	{(bolshevik)}
Bolshevism	{(bolshevism)}
Bombay	{(bombay)}
Bordeaux	{(bordeaux)}
Borneo	{(borneo)}
Boston	{(boston)}
Boston's	{(boston)}
Bostonian	{(boston)}>ian>
Bovril	{(bovril)}
Bowdler	{(bowdler)}
Bowie	{(bowie)}
Brad	{(brad)}
Bradley	{(bradley)}
Brahmin	{(brahmin)}
Brahmins	{(brahmin)}
Brahms	{(brahms)}
Brandon	{(bran)(don)}
Brandon's	{(bran)(don)}
Brazil	{(brazil)}
Brazilian	{(brazil)}>ian>
Brazilians	{(brazil)}>ian>
Breton	{(breton)}
Brett	{(brett)}
Brewer's	{(brew)}>er>
Brian	{(brian)}
Brie	{(brie)}
Brisbane	{(brisbane)}
Bristol	{(bristol)}
Brit	{(britain)}
Britain	{(britain)}
Britain's	{(britain)}
Britannic	{(britain)>ic>}
British	{(britain)>ish>}
Britisher	{(britain)>ish>}>er>
Britishers	{(britain)>ish>}>er>
Briton	{(britain)>on>}
Britons	{(britain)>on>}
Broadway	{(broadway)}
Bronx	{(bronx)}
Brooklyn	{(brook)(lyn)}
Brownies	{(brown)}>y>
Bruce	{(bruce)}
Brunei	{(brunei)}
Brussels	{(brussels)}
Buchanan	{(buchanan)}
Bucharest	{(bucharest)}
Budapest	{(budapest)}
Buddha	{(buddha)}
Buddhism	{(buddha)}>ism>
Buddhist	{(buddha)}>ist>
Buddhists	{(buddha)}>ist>
Bugatti	{(bugatti)}
Buick	{(buick)}
Bulgaria	{(bulgaria)}
Bulgarian	{(bulgaria)}>n>
Bulgarians	{(bulgaria)}>n>
Bunyan	{(bunyan)}
Burbank	{(bur)(bank)}
Burberries	{(bur)(berry)}
Burberry	{(bur)(berry)}
Burma	{(burma)}
Burmese	{(burmese)}
Burt	{(burt)}
Burundi	{(burundi)}
Bushman	{(bush)}(man)
Bushmen	{(bush)}(men)
Byron	{(byron)}
Byzantine	{(byzantine)}
Byzantium	{(byzantium)}
CABOT	{(cabot)}
CAHILL	{(ca)(hill)}
CAIUS	{(caius)}
CAL	{(cal)}
CALABRIA	{(calabria)}
CALDER	{(calder)}
CALDWELL	{(caldwell)}
CALDWELL'S	{(caldwell)}
CALEB	{(caleb)}
CALHOUN	{(calhoun)}
CALIBERS	{(caliber)}
CALIF	{(calif)}
CALLAN	{(callan)}
CALLIN	{(cal)}{(lin)}
CALTECH	{(cal)}{(tech)}
CALTECH'S	{(cal)}{(tech)}
CAMDEN	{(camden)}
CAMERON	{(cameron)}
CAMILLA	{(camilla)}
CAMILLE	{(camille)}
CAMPBELL	{(campbell)}
CANAVERAL'S	{(canaveral)}
CANCELED	{(cancel)}
CANCELING	{(cancel)}
CANDIDE	{(candid)}
CANELI	{(can)}{(eli)}
CANUTE	{(canute)}
CAPEK'S	{(capek)}
CAPETOWN	{(cape)(town)}
CAPO	{(capo)}
CAPONE	{(capone)}
CAPONE'S	{(cap)}{(one)}
CAPOTE	{(capote)}
CAPPY	{(cappy)}
